,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000196616.11,14130,-5.87856376398325,3.19677688226246e-32,-6.8535980999649,-4.9035294280016,98.5347708122983,5.31929552363583,ADH1B
ENSG00000187758.6,6670,-4.10730688660096,5.81261382912398e-16,-5.10199278874003,-3.11262098446189,97.5938947531509,5.4044111785175,ADH1A
ENSG00000248144.4,56043,-3.76776052258792,4.60492128617669e-15,-4.71001292085723,-2.8255081243186,98.3700081757891,4.78871963719246,ADH1C
ENSG00000124253.10,3901,-3.42000213353763,1.85417190541111e-10,-4.47180279759045,-2.36820146948481,96.9485222644057,5.78684964809863,PCK1
ENSG00000111275.11,11667,-1.39173503439733,1.68064766918371e-09,-1.84439840835785,-0.939071660436817,99.0969249761711,1.16384878061186,ALDH2
ENSG00000166800.8,38871,-1.34211618020429,2.92483103198962e-09,-1.78527734372989,-0.898955016678686,90.5113889524943,0.902913438479603,LDHAL6A
